route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
E,MTA NYCT,E,8 Avenue Local,"Trains operate between Jamaica Center (Parsons/Archer), Queens, and World Trade Center, Manhattan, at all times. E trains operate express in Queens at all times except late nights when they operate local.",1,http://web.mta.info/nyct/service/pdf/tecur.pdf,2850AD,FFFFFF
F,MTA NYCT,F,Queens Blvd Express/ 6 Av Local,"Trains operate at all times between Jamaica-179 St, Queens, and Stillwell Av, Brooklyn via the 63 St Connector (serving 21 St-Queensbridge, Roosevelt Island, Lexington Av-63 St, and 57 St-6 Av). F trains operate local in Manhattan and express in Queens at all times.",1,http://web.mta.info/nyct/service/pdf/tfcur.pdf,FF6319,
FX,MTA NYCT,FX,Brooklyn F Express,"Trains operate rush hour only between Jamaica-179 St, Queens, and Stillwell Av, Brooklyn, weekday mornings toward Manhattan, weekday afternoons toward Coney Island. These trains operate express in Brooklyn between Church Av and Jay St-MetroTech for two trips each rush hour period.",1,http://web.mta.info/nyct/service/pdf/tfcur.pdf,FF6319,
FS,MTA NYCT,S,Franklin Avenue Shuttle,"Train provides full time connecting service between the A and C at the Franklin Av/Fulton St station, and the Q at the Prospect Park/Empire Blvd station. A free transfer is also available at the Botanic Garden/Eastern Parkway Station to the 2, 3, 4, and 5 service.",1,http://web.mta.info/nyct/service/pdf/tscur.pdf,,
G,MTA NYCT,G,Brooklyn-Queens Crosstown,"Trains operate between Court Square, Queens and Church Av, Brooklyn on weekdays, late nights, and weekends.",1,http://web.mta.info/nyct/service/pdf/tgcur.pdf,6CBE45,
J,MTA NYCT,J,Nassau St Local,"Trains operate weekdays between Jamaica Center (Parsons/Archer), Queens, and Broad St, Manhattan at all times. During weekdays, Trains going to Manhattan run express in Brooklyn between Myrtle Av and Marcy Av from about 7 AM to 1 PM and from Manhattan from 1:30 PM and 8 PM. During weekday rush hours, trains provide skip-stop service. Skip-stop service means that some stations are served by J trains, some stations are served by the Z trains, and some stations are served by both J and Z trains. J/Z skip-stop service runs towards Manhattan from about 7 AM to 8:15 AM and from Manhattan from about 4:30 PM to 5:45 PM.",1,http://web.mta.info/nyct/service/pdf/tjcur.pdf,996633,
L,MTA NYCT,L,14 St-Canarsie Local,"Trains operate between 8 Av/14 St, Manhattan, and Rockaway Pkwy/Canarsie, Brooklyn, at all times.",1,http://web.mta.info/nyct/service/pdf/tlcur.pdf,A7A9AC,
M,MTA NYCT,M,Queens Blvd Local/6 Av Local,"Trains operate between Middle Village-Metropolitan Avenue, Queens and Myrtle Avenue, Brooklyn at all times. Service is extended weekdays (except late nights) Continental Ave, Queens, All trains provide local service.",1,http://web.mta.info/nyct/service/pdf/tmcur.pdf,FF6319,
N,MTA NYCT,N,Broadway Local,"Trains operate from Astoria-Ditmars Boulevard, Queens, to Stillwell Avenue, Brooklyn, at all times. N trains in Manhattan operate along Broadway and across the Manhattan Bridge to and from Brooklyn. Trains in Brooklyn operate along 4th Avenue, then through Borough Park and Gravesend. Trains typically operate local in Queens and express in Manhattan and Brooklyn. Late night trains operate local in Manhattan and to/from Brooklyn via Whitehall St, Manhattan. Weekends N trains operate local in Manhattan.",1,http://web.mta.info/nyct/service/pdf/tncur.pdf,FCCC0A,
Q,MTA NYCT,Q,Broadway Express,"Trains operate between 96 St-2 Av, Manhattan, and Stillwell Av, Brooklyn at all times. Trains operate local in Brooklyn at all times. Train operate express in Manhattan at all times, except late nights when trains operate local in Manhattan.",1,http://web.mta.info/nyct/service/pdf/tqcur.pdf,FCCC0A,
R,MTA NYCT,R,Broadway Local,"Trains operate local between Forest Hills-71 Av, Queens, and 95 St/4 Av, Brooklyn, at all times except late nights. During late nights, trains operate only in Brooklyn between 36 St and 95 St/4 Av.",1,http://web.mta.info/nyct/service/pdf/trcur.pdf,FCCC0A,
H,MTA NYCT,S,Rockaway Park Shuttle,"Service operates at all times between Broad Channel, and Rockaway Park, Queens.",1,http://web.mta.info/nyct/service/pdf/thcur.pdf,,
W,MTA NYCT,W,Broadway Local,"Trains operate from Astoria-Ditmars Boulevard, Queens, to Whitehall St, Manhattan, on weekdays only.",1,http://web.mta.info/nyct/service/pdf/twcur.pdf,FCCC0A,
Z,MTA NYCT,Z,Nassau St Express,"Trains operate weekday rush hours only. During weekday rush hours, J and Z trains provide skip-stop service. Skip-stop service means that some stations are served by J trains, some stations are served by the Z trains, and some stations are served by both J and Z trains. J/Z skip-stop service runs towards Manhattan from about 7 AM to 8:15 AM and from Manhattan from about 4:30 PM to 5:45 PM.",1,http://web.mta.info/nyct/service/pdf/tjcur.pdf,996633,
SI,MTA NYCT,SIR,Staten Island Railway,"Service runs 24 hours a day between the St George and Tottenville terminals. At the St George terminal, customers can make connections with Staten Island Ferry service to Manhattan.",2,http://web.mta.info/nyct/service/pdf/sircur.pdf,,
